order,family,Genus,species,mass.g.,gestation.mo.,newborn.g.,weaning.mo.,wean,refs
Artiodactyla,Camelidae,Camelus,dromedarius,434000,12.64,35808.46,14.63,253484,
Artiodactyla,Camelidae,Lama,glama,142500,11.01,12000,5,-999,
Artiodactyla,Camelidae,Lama,pacos,60000,10.79,7584,7,-999,
Artiodactyla,Camelidae,Lama,guanicoe,110000,11.25,11666.67,11.33,-999,
Artiodactyla,Camelidae,Vicugna,vicugna,50000,11.55,5841.67,7,-999,
Artiodactyla,Cervidae,Alces,alces,351000,7.95,13018.18,3.8,94000,
Artiodactyla,Cervidae,Axis,porcinus,33500,7.45,2365,6,-999,
Artiodactyla,Cervidae,Axis,axis,55000,7.72,3378.5,4,-999,
Artiodactyla,Cervidae,Blastocerus,dichotomus,102500,8.89,4200,-999,-999,
Artiodactyla,Cervidae,Capreolus,capreolus,21666.67,6.54,1214.33,3.08,8692.5,
Artiodactyla,Cervidae,Capreolus,pygargus,39450,9.67,1750,4.5,28750,
Artiodactyla,Cervidae,Cervus,duvaucelii,143000,8.21,-999,-999,-999,
Artiodactyla,Cervidae,Cervus,elaphus,120333.33,8.03,8814.09,5.37,46900,
Artiodactyla,Cervidae,Cervus,albirostris,125000,8.33,-999,-999,-999,
Artiodactyla,Cervidae,Cervus,timorensis,53000,8.49,-999,7.5,-999,
Artiodactyla,Cervidae,Cervus,unicolor,171000,8.2,9890,7,-999,
Artiodactyla,Cervidae,Cervus,eldii,73000,7.37,5008,7.88,-999,
Artiodactyla,Cervidae,Cervus,nippon,96500,7.59,3734,5.67,28590,
Artiodactyla,Cervidae,Dama,dama,54500,7.75,4511.17,6.01,22570,
Artiodactyla,Cervidae,Elaphodus,cephalophus,33500,6.5,-999,-999,-999,
Artiodactyla,Cervidae,Elaphurus,davidianus,149000,9.41,11412.5,5.5,-999,
Artiodactyla,Cervidae,Hippocamelus,bisulcus,70000,6.5,-999,-999,-999,
Artiodactyla,Cervidae,Hippocamelus,antisensis,68600,8,-999,-999,-999,
Artiodactyla,Cervidae,Hydropotes,inermis,14000,6.25,1028.33,-999,-999,
Artiodactyla,Cervidae,Mazama,rufina,8200,7.25,-999,-999,-999,
Artiodactyla,Cervidae,Mazama,gouazoupira,16650,7.42,792.33,-999,-999,
Artiodactyla,Cervidae,Mazama,americana,23000,7.43,542.5,6,-999,
Artiodactyla,Cervidae,Muntiacus,muntjak,14000,6.12,1310.8,2,-999,
Artiodactyla,Cervidae,Muntiacus,reevesi,12000,6.86,1096.67,-999,-999,
Artiodactyla,Cervidae,Odocoileus,hemionus,55766.67,6.85,2952.67,2.48,19516.67,
Artiodactyla,Cervidae,Odocoileus,virginianus,59500,6.84,3154.67,4.29,33631.33,
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,35000,7.25,2150,5.5,-999,
Artiodactyla,Cervidae,Pudu,mephistophiles,9750,-999,400,-999,-999,
Artiodactyla,Cervidae,Pudu,puda,8250,6.76,695,2,-999,
Artiodactyla,Cervidae,Rangifer,tarandus,113200,7.24,5773.67,2.84,26900,
Artiodactyla,Giraffidae,Giraffa,camelopardalis,800000,14.89,59770.59,8.25,-999,
Artiodactyla,Giraffidae,Okapia,johnstoni,287500,14.87,17375,7,77000,
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,215000,6.84,5636.25,7.33,-999,
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1258333.33,7.75,39746.67,10.13,237500,
Artiodactyla,Moschidae,Moschus,chrysogaster,11000,-999,800,-999,-999,
Artiodactyla,Moschidae,Moschus,berezovskii,10900,-999,524,-999,-999,
Artiodactyla,Moschidae,Moschus,moschiferus,12500,5.33,458.75,3.5,-999,
Artiodactyla,Suidae,Babyrousa,babyrussa,100000,5.16,715,7,-999,
Artiodactyla,Suidae,Hylochoerus,meinertzhageni,202500,4.39,1250,2.25,-999,
Artiodactyla,Suidae,Phacochoerus,aethiopicus,71000,5.53,672.78,3.49,-999,
Artiodactyla,Suidae,Potamochoerus,porcus,71000,3.78,762,3,-999,
Artiodactyla,Suidae,Sus,salvanius,8150,3.76,191.5,-999,-999,
Artiodactyla,Suidae,Sus,barbatus,102750,4,-999,-999,-999,
Artiodactyla,Suidae,Sus,scrofa,100900,3.95,1040.31,3.38,8726,
Artiodactyla,Tayassuidae,Catagonus,wagneri,35300,-999,647,-999,-999,
Artiodactyla,Tayassuidae,Pecari,tajacu,19200,4.66,657.18,1.7,5220.67,
Artiodactyla,Tayassuidae,Tayassu,pecari,33750,5.23,1225,1.63,-999,
Artiodactyla,Tragulidae,Hyemoschus,aquaticus,12250,5.86,-999,5.17,-999,
Artiodactyla,Tragulidae,Moschiola,meminna,2450,4.94,319,-999,-999,
Artiodactyla,Tragulidae,Tragulus,javanicus,3850,4.61,370,2.92,-999,
Artiodactyla,Tragulidae,Tragulus,napu,5900,5.2,373.67,3,-999,
Carnivora,Canidae,Alopex,lagopus,4500,1.75,71.04,1.67,-999,
Carnivora,Canidae,Atelocynus,microtis,9500,-999,-999,-999,-999,
Carnivora,Canidae,Canis,simensis,12675,2.04,-999,2.5,-999,
Carnivora,Canidae,Canis,aureus,11000,2.05,207.5,2.28,-999,
Carnivora,Canidae,Canis,rufus,26000,2.05,-999,-999,-999,
Carnivora,Canidae,Canis,lupus,34875,2.16,418.6,1.55,5250,
Carnivora,Canidae,Canis,mesomelas,9750,2.08,159,2.13,-999,
Carnivora,Canidae,Canis,latrans,11800,2.05,249.75,1.74,1517,
Carnivora,Canidae,Canis,adustus,8250,2.17,-999,1.5,-999,
Carnivora,Canidae,Cerdocyon,thous,6500,1.85,365,3,-999,
Carnivora,Canidae,Chrysocyon,brachyurus,23000,2.11,400.17,4.75,-999,
Carnivora,Canidae,Cuon,alpinus,12760,2.07,273.33,1.64,2350,
Carnivora,Canidae,Lycaon,pictus,27133.33,2.41,332.5,2.88,-999,
Carnivora,Canidae,Nyctereutes,procyonoides,4232,2.05,87.92,1.73,825,
Carnivora,Canidae,Otocyon,megalotis,4150,2.26,120.88,2.06,-999,
Carnivora,Canidae,Pseudalopex,gymnocercus,4690,1.95,-999,-999,-999,
Carnivora,Canidae,Pseudalopex,griseus,3990,1.85,-999,-999,-999,
Carnivora,Canidae,Pseudalopex,culpaeus,13000,1.99,-999,2,-999,
Carnivora,Canidae,Speothos,venaticus,6000,2.35,152.43,3.33,-999,
Carnivora,Canidae,Urocyon,cinereoargenteus,4220,2.14,95.33,1.8,519.67,
Carnivora,Canidae,Urocyon,littoralis,1890.67,1.7,-999,2,-999,
Carnivora,Canidae,Vulpes,cana,1000,1.84,29,1.5,-999,
Carnivora,Canidae,Vulpes,chama,4000,1.72,-999,-999,-999,
Carnivora,Canidae,Vulpes,rueppelli,2250,1.75,-999,-999,-999,
Carnivora,Canidae,Vulpes,ferrilata,7000,-999,-999,-999,-999,
Carnivora,Canidae,Vulpes,pallida,2550,-999,-999,-999,-999,
Carnivora,Canidae,Vulpes,bengalensis,1800,1.69,58.5,-999,-999,
Carnivora,Canidae,Vulpes,corsac,2700,1.77,62.5,0.93,-999,
Carnivora,Canidae,Vulpes,vulpes,5662.5,1.73,101.25,1.81,1236.43,
Carnivora,Canidae,Vulpes,zerda,1200,1.71,26.28,2.18,-999,
Carnivora,Canidae,Vulpes,velox,2766.67,1.71,39.65,1.69,-999,
Carnivora,Felidae,Acinonyx,jubatus,58750,3.35,403.96,3.67,1940,
Carnivora,Felidae,Caracal,caracal,14000,2.43,165,4.17,-999,
Carnivora,Felidae,Catopuma,temminckii,11500,2.67,250,-999,-999,
Carnivora,Felidae,Felis,chaus,10000,2.05,126.62,3,2212.5,
Carnivora,Felidae,Felis,margarita,2350,2.2,55.5,-999,-999,
Carnivora,Felidae,Felis,silvestris,4150,2.15,101.87,2.25,630.79,
Carnivora,Felidae,Felis,nigripes,2125,2.2,70.87,-999,-999,
Carnivora,Felidae,Herpailurus,yaguarondi,6750,2.33,-999,-999,-999,
Carnivora,Felidae,Leopardus,wiedii,3666.67,2.67,118,1.83,785.1,
Carnivora,Felidae,Leopardus,tigrinus,2250,2.51,-999,1.83,-999,
Carnivora,Felidae,Leopardus,pardalis,8800,2.64,254.4,3.5,3400,
Carnivora,Felidae,Leptailurus,serval,13350,2.36,253.2,4.2,-999,
Carnivora,Felidae,Lynx,pardinus,9400,2.18,-999,-999,-999,
Carnivora,Felidae,Lynx,rufus,8600,1.86,301,2.55,1190,
Carnivora,Felidae,Lynx,lynx,18026.67,2.33,269.5,3.1,1860,
Carnivora,Felidae,Lynx,canadensis,8900,2.18,204,5,-999,
Carnivora,Felidae,Neofelis,nebulosa,19500,3.06,215.33,4.26,5427.5,
Carnivora,Felidae,Oncifelis,colocolo,2950,-999,-999,-999,-999,
Carnivora,Felidae,Oncifelis,geoffroyi,4000,2.45,86.18,2.25,-999,
Carnivora,Felidae,Otocolobus,manul,3500,2.37,89,-999,-999,
Carnivora,Felidae,Panthera,tigris,119700,3.51,1248.59,5.48,19556,
Carnivora,Felidae,Panthera,onca,81150,3.39,831.89,4.13,5033.5,
Carnivora,Felidae,Panthera,leo,139500,3.62,1377.45,7.22,8480,
Carnivora,Felidae,Panthera,pardus,42325,3.22,363.49,2.88,1940,
Carnivora,Felidae,Pardofelis,marmorata,3500,-999,85,-999,-999,
Carnivora,Felidae,Prionailurus,viverrinus,10850,2.29,170,2.92,-999,
Carnivora,Felidae,Prionailurus,rubiginosus,1350,2.23,-999,-999,-999,
Carnivora,Felidae,Prionailurus,bengalensis,4150,2.17,93.86,1.47,620,
Carnivora,Felidae,Profelis,aurata,10650,-999,248.33,-999,-999,
Carnivora,Felidae,Puma,concolor,48000,3.07,388.22,4.2,3500,
